English           Nepali
State             स्टेट
NFL               एनएफएल
NASCAR            नास्कार
Geico             गाइको
Harrod            ह्यारोड
Rammstein         र्यामस्टाइन
sleigh            स्ले
Rabobank          राबोब्याङ्क
Slough            स्लो
Jets              जेट्स
effie             एफी
IV                आइभी
ers               इर्स
Longhair          लोङ्हेयर
tshirt            टीशर्ट
swanky            स्व्याङ्की
II                आइआइ
contraption       कन्ट्राप्सन
savoie            सभोइ
NC                एनसी
MakerBot          मेकरबट
Industries        इन्डस्ट्रिज
GSU               जिएसयू
SWAC              एसडब्ल्यूएसी
gocarts           गोकार्ट्स
wetsuits          वेटसुट्स
FAT               फ्याट
DJ                डिजे
X                 एक्स
Tball             टीबल
ACE               एसी
Cavaliers         क्याभालियर्स
VISA              भिसा
Eik               इक
skyrim            स्कायरिम
Hodo              होडो
Soy               सोय
DSLR              डिएसएलआर
NBA               एनबिए
KFBK              केएफबिएके
Hmong             हमोङ
GI                जीआई
pantyhose         प्यान्टिहोज
DI                डिए
walkietalkie      वाकीटकी
AAA               एएए
windup            विन्डअप
Minnie            मिनी
pf                पिएफ
catamaran         क्याटामारान
Renaissancestyle  रेनेसन्स शैली
ZZ                जेडजेड
Top               टप
wetsuit           वेटसुट
Bienvenus         बिएनभेनुस
Eni               इनि
epee              एपी
Stevie            स्टिभी
Wonder            वन्डर
espania           एस्पानिया
Stratego          स्ट्राटेगो
MLB               एमएलबी
Slurpees          स्लर्पीज
badmitten         ब्याडमिटन
matador           म्याटाडर
KISS              किस
QB                क्युबी
MMA               एमएमए
GkickS            जिकिक्स
LA                एलए
Raider            रेडर
allterrain        सबै इलाका
UTEP              युटेप
reenactors        पुनर्निर्माणकर्ता
wwwrouleurcc      डब्ल्यूडब्ल्यूडब्ल्यूरोलरसीसी
All               सबै
Star              स्टार
violas            भियोलास
YWCA              वायडब्ल्यूसिए
Dalmatian         डाल्मेटियन
SpongeBob         स्पन्जबब
SquarePants       स्क्वेयर प्यान्ट्स
NYC               एनवाईसी
squints           स्क्विन्ट्स
onepiecesuit      एक टुक्रा सुट
rv                आरभी
